City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
151,Ha Tinh,VN,18.3333,105.9,71.15,96,100,2.19,overcast clouds,2021-03-25 19:15:29
152,Kristiinankaupunki,FI,62.2743,21.376,32.5,92,100,8.12,light snow,2021-03-25 19:16:24
153,Meulaboh,ID,4.1363,96.1285,75.11,90,100,1.79,light rain,2021-03-25 19:16:25
154,Snyder,US,32.7179,-100.9176,59.0,36,1,16.11,clear sky,2021-03-25 19:16:25
155,Airai,TL,-8.9266,125.4092,59.67,94,84,2.28,light rain,2021-03-25 19:16:25
156,Hervey Bay,AU,-25.2986,152.8535,68.0,71,0,1.01,clear sky,2021-03-25 19:16:25
157,Necochea,AR,-38.5473,-58.7368,62.01,97,100,8.01,overcast clouds,2021-03-25 19:12:53
158,Vardo,NO,70.3705,31.1107,32.0,86,75,17.27,light snow,2021-03-25 19:15:32
159,Bell Ville,AR,-32.6259,-62.6887,75.0,83,100,4.0,overcast clouds,2021-03-25 19:16:26
160,Longyearbyen,SJ,78.2186,15.6401,23.0,74,90,18.41,snow,2021-03-25 19:12:50
161,Pangnirtung,CA,66.1451,-65.7125,-23.8,57,1,3.44,clear sky,2021-03-25 19:16:26
162,Collie,AU,-33.3667,116.15,51.01,85,50,1.57,scattered clouds,2021-03-25 19:16:26
163,Narsaq,GL,60.9167,-46.05,15.8,27,1,8.05,clear sky,2021-03-25 19:16:26
164,Harper,LR,4.375,-7.7169,79.48,81,100,4.9,overcast clouds,2021-03-25 19:16:27
165,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,75,2.3,broken clouds,2021-03-25 19:16:27
166,Sosnovo,RU,60.5514,30.2144,37.0,96,96,5.99,overcast clouds,2021-03-25 19:16:27
167,Solsona,ES,41.994,1.5171,55.99,66,45,4.0,scattered clouds,2021-03-25 19:16:27
168,Lithgow,AU,-33.4833,150.15,55.99,89,0,3.31,clear sky,2021-03-25 19:16:28
169,Atambua,ID,-9.1061,124.8925,73.78,91,97,3.98,overcast clouds,2021-03-25 19:16:28
170,Victoria,HK,22.2855,114.1577,68.0,78,0,3.0,clear sky,2021-03-25 19:16:28
171,Beringovskiy,RU,63.05,179.3167,-0.33,96,100,2.71,overcast clouds,2021-03-25 19:16:28
172,Townsville,AU,-19.25,146.8,78.8,94,40,8.05,scattered clouds,2021-03-25 19:16:29
173,Cururupu,BR,-1.8283,-44.8683,75.97,94,100,2.17,overcast clouds,2021-03-25 19:16:29
174,Male,MV,4.1748,73.5089,80.6,83,75,8.05,broken clouds,2021-03-25 19:16:29
175,Lengshuitan,CN,26.4111,111.5956,65.3,79,77,2.98,broken clouds,2021-03-25 19:16:30
176,Bethel,US,41.3712,-73.414,73.4,56,1,10.36,clear sky,2021-03-25 19:16:30
177,Ciawi,ID,-7.5117,107.9767,68.74,92,100,1.07,overcast clouds,2021-03-25 19:16:30
178,Porto Walter,BR,-8.2686,-72.7439,85.6,65,88,1.34,overcast clouds,2021-03-25 19:16:30
179,Dikson,RU,73.5069,80.5464,-8.64,99,27,6.91,scattered clouds,2021-03-25 19:16:31
180,Tura,IN,25.5198,90.2201,71.85,23,2,2.13,clear sky,2021-03-25 19:16:31
181,Eenhana,NA,-17.4667,16.3333,76.69,56,100,4.65,overcast clouds,2021-03-25 19:16:31
182,Paamiut,GL,61.994,-49.6678,13.03,71,100,14.7,overcast clouds,2021-03-25 19:16:31
183,Sinnamary,GF,5.3833,-52.95,80.55,77,20,9.86,few clouds,2021-03-25 19:16:32
184,Tiksi,RU,71.6872,128.8694,2.12,86,100,9.35,overcast clouds,2021-03-25 19:16:32
185,Sistranda,NO,63.7256,8.834,42.8,81,75,13.8,broken clouds,2021-03-25 19:16:32
186,Lakes Entrance,AU,-37.8811,147.981,48.99,95,3,6.85,clear sky,2021-03-25 19:16:32
187,Samarai,PG,-10.6167,150.6667,81.88,78,99,8.9,overcast clouds,2021-03-25 19:16:33
188,Srednekolymsk,RU,67.45,153.6833,-20.16,100,100,2.04,overcast clouds,2021-03-25 19:16:33
189,Castro,BR,-24.7911,-50.0119,76.68,72,93,4.21,overcast clouds,2021-03-25 19:16:33
190,Chara,RU,56.9064,118.2631,10.24,78,98,2.37,overcast clouds,2021-03-25 19:16:33
191,Husum,DE,54.4858,9.0524,50.0,76,75,2.3,broken clouds,2021-03-25 19:16:34
192,Imbituba,BR,-28.24,-48.6703,80.6,69,40,9.22,scattered clouds,2021-03-25 19:16:34
193,Bairiki,KI,1.3292,172.9752,78.8,89,75,9.22,broken clouds,2021-03-25 19:16:34
194,Champerico,GT,14.3,-91.9167,91.4,58,40,6.91,scattered clouds,2021-03-25 19:16:34
195,Binabalian,PH,16.4202,119.9279,80.87,74,4,17.29,clear sky,2021-03-25 19:16:35
196,Asau,RO,46.4333,26.4,37.99,36,100,4.18,overcast clouds,2021-03-25 19:16:35
197,Guisa,CU,20.255,-76.5386,91.4,35,40,5.75,scattered clouds,2021-03-25 19:16:35
198,Sioux Lookout,CA,50.1001,-91.917,32.0,47,40,10.36,scattered clouds,2021-03-25 19:16:35
199,Bonthe,SL,7.5264,-12.505,79.86,77,12,8.75,few clouds,2021-03-25 19:16:36
200,Lulindi,TZ,-10.8167,39.1333,70.61,95,75,2.89,broken clouds,2021-03-25 19:16:36
201,Winnemucca,US,40.973,-117.7357,37.4,70,90,8.05,overcast clouds,2021-03-25 19:12:10
202,Kruisfontein,ZA,-34.0033,24.7314,69.01,82,11,4.0,few clouds,2021-03-25 19:16:36
203,Ostrovnoy,RU,68.0531,39.5131,34.47,86,100,18.5,overcast clouds,2021-03-25 19:16:37
204,Bullhead City,US,35.1478,-114.5683,64.99,16,90,23.02,overcast clouds,2021-03-25 19:14:14
205,Takoradi,GH,4.8845,-1.7554,80.91,78,99,8.05,overcast clouds,2021-03-25 19:16:37
206,Barcelos,PT,41.5388,-8.6151,53.6,76,40,8.05,scattered clouds,2021-03-25 19:16:37
207,Saskylakh,RU,71.9167,114.0833,-19.62,100,100,4.5,overcast clouds,2021-03-25 19:16:37
208,Khatanga,RU,71.9667,102.5,-11.36,97,99,3.11,overcast clouds,2021-03-25 19:16:38
209,Samokov,BG,42.3333,23.55,34.0,90,100,3.0,overcast clouds,2021-03-25 19:16:38
210,Yellowknife,CA,62.456,-114.3525,6.01,60,75,4.61,broken clouds,2021-03-25 19:14:05
211,Gazojak,TM,41.1875,61.4036,62.4,61,98,10.76,overcast clouds,2021-03-25 19:16:38
212,Kamenka,RU,51.3223,42.7678,30.99,83,84,9.93,broken clouds,2021-03-25 19:16:39
213,Horve,DK,55.7529,11.453,45.0,85,93,5.01,overcast clouds,2021-03-25 19:16:39
214,Balkhash,KZ,46.844,74.9804,40.78,71,100,13.4,overcast clouds,2021-03-25 19:16:39
215,Gorin,RU,51.1983,136.6669,23.29,96,100,3.76,light snow,2021-03-25 19:16:39
216,Parry Sound,CA,45.3501,-80.033,44.01,81,100,9.33,overcast clouds,2021-03-25 19:14:04
217,Sitka,US,57.0531,-135.33,39.2,81,90,4.61,light snow,2021-03-25 19:16:40
218,Beloha,MG,-25.1667,45.05,71.92,79,0,11.59,clear sky,2021-03-25 19:16:40
219,Marawi,PH,7.9986,124.2928,73.99,92,8,7.0,clear sky,2021-03-25 19:16:40
220,Novopokrovka,UA,49.8425,36.5477,39.2,70,0,8.95,clear sky,2021-03-25 19:16:40
221,Ushibuka,JP,32.1906,130.0228,56.28,67,10,6.44,clear sky,2021-03-25 19:16:41
