City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Marawi,PH,2021-03-23 14:10:23,7.9986,124.2928,79.0,86,79,5.01
117,Airai,TL,2021-03-23 14:10:23,-8.9266,125.4092,61.34,93,85,1.61
118,Shirokiy,RU,2021-03-23 14:10:23,49.758,129.523,18.41,61,0,6.35
119,Provideniya,RU,2021-03-23 14:10:23,64.3833,-173.3,9.57,96,100,7.23
120,Barrow,US,2021-03-23 14:10:02,71.2906,-156.7887,-2.2,71,20,13.8
121,Great Yarmouth,GB,2021-03-23 14:10:24,52.6083,1.7305,55.0,58,40,12.66
122,Ergani,TR,2021-03-23 14:10:24,38.2653,39.7621,53.6,66,75,14.97
123,Izhma,RU,2021-03-23 14:10:24,65.0083,53.9113,25.07,91,100,6.55
124,Glenwood Springs,US,2021-03-23 14:10:24,39.5505,-107.3248,30.99,92,90,2.39
125,Kisangani,CD,2021-03-23 14:10:25,0.5167,25.2,92.16,38,63,4.83
126,Lompoc,US,2021-03-23 14:10:25,34.6391,-120.4579,46.4,87,1,3.44
127,San Juan,AR,2021-03-23 14:10:25,-31.5375,-68.5364,76.48,33,0,10.67
128,Geraldton,AU,2021-03-23 14:10:25,-28.7667,114.6,68.0,60,0,20.71
129,Lokosovo,RU,2021-03-23 14:10:26,61.1333,74.8167,24.31,89,92,9.26
130,Victoria,HK,2021-03-23 14:10:06,22.2855,114.1577,68.0,66,100,1.99
131,Meulaboh,ID,2021-03-23 14:10:26,4.1363,96.1285,79.88,79,99,0.34
132,Jyllinge,DK,2021-03-23 14:10:26,55.7584,12.1123,44.01,81,90,8.05
133,Vestmannaeyjar,IS,2021-03-23 14:10:26,63.4427,-20.2734,35.6,80,75,3.44
134,Shimoda,JP,2021-03-23 14:10:27,34.6667,138.95,48.0,62,0,1.01
135,Faanui,PF,2021-03-23 14:10:27,-16.4833,-151.75,83.07,74,17,16.49
136,Morant Bay,JM,2021-03-23 14:10:27,17.8815,-76.4093,81.0,61,20,8.05
137,Phayao,TH,2021-03-23 14:10:28,19.25,100.25,80.53,50,97,2.64
138,Khatanga,RU,2021-03-23 14:10:28,71.9667,102.5,-13.88,93,100,3.74
